join_date,customer_key,first_name,last_name,gender,age,age_group,total_spend,total_orders,last_purchase_date,customer_status
2013-02-10,66,Jessica,Henderson,Female,34,30-44,196,1,2013-02-10,Churned One-Time
2011-03-31,73,Casey,Luo,Female,53,45-59,8194,3,2013-06-15,Active
2013-03-23,75,Levi,Arun,Male,51,45-59,94,3,2013-05-27,Active
2013-03-15,80,Donald,Gonzalez,Male,43,30-44,33,2,2013-08-31,Active
2013-01-22,83,Angela,Butler,Female,41,30-44,3110,2,2013-11-06,Active
2012-12-29,90,Abigail,Price,Female,51,45-59,3188,2,2013-11-18,Active
2011-05-18,107,Jessie,Liu,Male,43,30-44,8079,3,2013-06-15,Active
2011-05-25,113,Crystal,Wang,Female,45,45-59,8295,3,2013-09-02,Active
2013-02-01,114,Micheal,Blanco,Male,40,30-44,110,3,2013-04-21,Active
2013-03-18,115,Leslie,Moreno,Female,46,45-59,123,3,2013-12-26,Active
2013-02-10,116,Alvin,Cai,Male,46,45-59,35,2,2013-12-22,Active
2013-06-24,122,Orlando,Suarez,Male,47,45-59,58,3,2013-11-04,Active
2013-02-21,123,Byron,Vazquez,Male,48,45-59,43,3,2013-08-22,Active
2011-05-05,125,Ross,Jordan,Male,45,45-59,8129,3,2013-06-18,Active
2011-08-06,130,Julia,Wright,Female,32,30-44,5873,2,2013-01-09,Churned
2012-11-04,407,Latoya,Xu,Female,56,45-59,4415,2,2013-02-09,Churned
2013-06-23,408,Mario,She,Male,56,45-59,54,1,2013-06-23,One-Time Buyer
2011-08-10,414,Megan,Stewart,Female,54,45-59,7190,4,2013-09-05,Active
2013-03-19,431,Casey,Yuan,Female,56,45-59,85,1,2013-03-19,One-Time Buyer
2013-03-27,441,Sergio,Weber,Male,60,60+,78,1,2013-03-27,One-Time Buyer
2011-10-08,773,Cameron,Moore,Male,29,Under 30,5913,2,2013-05-15,Active
2011-10-23,774,Gavin,Diaz,Male,34,30-44,5984,2,2013-04-30,Active
2011-10-26,775,Emma,Sanchez,Female,35,30-44,5900,2,2013-06-13,Active
2013-08-02,783,Barbara,Jai,Female,31,30-44,151,2,2013-09-16,Active
2011-10-15,799,Brendan,Chande,Male,39,30-44,5953,2,2013-06-11,Active
2013-08-10,801,Jennifer,Baker,Female,38,30-44,77,2,2013-08-13,Active
2013-02-21,807,Jennifer,Stewart,Female,31,30-44,96,2,2013-10-03,Active
2013-04-13,808,Lucas,Baker,Male,36,30-44,153,2,2013-09-12,Active
2013-06-23,815,Dalton,Morgan,Male,37,30-44,101,2,2013-09-08,Active
2011-10-02,816,Hannah,Patterson,Female,32,30-44,5948,2,2013-02-24,Churned
2013-05-18,824,Morgan,Turner,Female,36,30-44,179,3,2013-11-01,Active
2013-05-01,1150,Bailey,Scott,Female,38,30-44,75,1,2013-05-01,One-Time Buyer
2013-01-30,1166,Caleb,Flores,Male,46,45-59,280,4,2013-07-05,Active
2013-07-11,1167,Jared,Rogers,Male,29,Under 30,162,4,2013-11-11,Active
2011-10-29,1168,Sebastian,Stewart,Male,45,45-59,5975,2,2013-03-13,Active
2013-11-17,1176,Luke,Powell,Male,47,45-59,155,2,2013-11-20,Active
2013-02-02,1177,Cody,James,Male,47,45-59,120,1,2013-02-02,Churned One-Time
2011-12-22,1185,Isaiah,Perez,Male,47,45-59,5875,2,2013-03-18,Active
2013-03-29,1186,Kaitlyn,Patterson,Female,47,45-59,50,2,2013-04-15,Active
2013-03-29,1194,Caleb,Simmons,Male,54,45-59,4833,2,2013-07-07,Active
2013-06-16,1200,Christina,Richardson,Female,56,45-59,195,2,2013-11-13,Active
2011-12-25,1208,Samuel,Hill,Male,68,60+,5875,2,2013-04-11,Active
2011-07-22,1475,Tammy,Chandra,Female,36,30-44,5928,2,2013-09-10,Active
2013-12-09,1478,Robin,Gill,Female,42,30-44,50,1,2013-12-09,One-Time Buyer
2011-07-04,1484,Amanda,Perez,Female,44,30-44,5898,2,2013-09-15,Active
2011-07-12,1486,Veronica,Subram,Female,38,30-44,5923,2,2013-09-23,Active
2012-07-19,1487,Kristen,Ye,Female,33,30-44,5652,3,2013-07-06,Active
2013-08-02,1492,Alvin,Huang,Male,42,30-44,87,1,2013-08-02,One-Time Buyer
2012-07-13,1493,Brittany,Price,Female,41,30-44,5166,3,2013-08-05,Active
2012-09-13,1500,Heather,Wang,Female,29,Under 30,4379,2,2013-08-27,Active
2011-08-27,1511,Roberto,Sanz,Male,45,45-59,6440,3,2013-09-20,Active
2013-06-28,1512,Grant,Chander,Male,30,30-44,9,1,2013-06-28,One-Time Buyer
2013-12-16,1517,Shawna,Chander,Female,31,30-44,9,1,2013-12-16,One-Time Buyer
2013-05-25,1526,Chelsea,Rodriguez,Female,33,30-44,120,1,2013-05-25,One-Time Buyer
2013-12-17,1528,JosΓö£┬«,Rodriguez,Male,48,45-59,87,1,2013-12-17,One-Time Buyer
2013-09-08,1535,Katie,Shan,Female,46,45-59,9,1,2013-09-08,One-Time Buyer
2013-05-06,1804,Heather,Li,Female,40,30-44,100,1,2013-05-06,One-Time Buyer
2013-05-07,1810,Michele,Navarro,Female,40,30-44,40,1,2013-05-07,One-Time Buyer
2013-12-01,1811,Chase,Stewart,Male,81,60+,7,1,2013-12-01,One-Time Buyer
